,non-chitinase,Chitinase,Real
0,1.77E-05,0.99998224,1
1,0.000532212,0.9994678,1
2,0.000884455,0.9991155,1
3,7.19E-07,0.9999993,1
4,0.000172238,0.99982774,1
5,1.14E-05,0.99998856,1
6,0.001407863,0.9985921,1
7,1.04E-06,0.9999989,1
8,7.39E-07,0.9999993,1
9,6.30E-06,0.9999937,1
10,0.38207665,0.6179234,1
11,0.000774633,0.9992254,1
12,0.000201877,0.9997981,1
13,2.17E-06,0.99999785,1
14,3.45E-05,0.99996555,1
15,2.59E-05,0.999974,1
16,7.98E-05,0.9999201,1
17,0.001250302,0.99874973,1
18,2.06E-05,0.9999794,1
19,9.33E-05,0.99990666,1
20,5.00E-05,0.99994993,1
21,1.61E-06,0.99999833,1
22,0.000138495,0.9998615,1
23,2.76E-05,0.99997246,1
24,3.18E-05,0.9999682,1
25,0.000789869,0.9992101,1
26,3.80E-05,0.999962,1
27,1.97E-05,0.9999802,1
28,0.000179108,0.9998209,1
29,3.00E-06,0.999997,1
30,6.88E-07,0.9999993,1
31,4.41E-05,0.9999559,1
32,0.000275315,0.9997247,1
33,3.02E-06,0.999997,1
34,4.65E-05,0.9999535,1
35,5.26E-07,0.9999995,1
36,6.93E-05,0.9999306,1
37,3.79E-05,0.9999621,1
38,9.44E-07,0.99999905,1
39,1.82E-05,0.99998176,1
40,0.000112879,0.9998871,1
41,2.02E-05,0.99997973,1
42,0.000106321,0.99989367,1
43,6.56E-05,0.9999343,1
44,0.000165287,0.99983466,1
45,3.08E-07,0.99999964,1
46,4.00E-05,0.99996006,1
47,5.94E-06,0.99999404,1
48,8.41E-06,0.99999154,1
49,8.79E-07,0.99999917,1
50,0.003861133,0.9961389,1
51,4.95E-06,0.9999951,1
52,5.55E-05,0.99994445,1
53,0.005624598,0.99437547,1
54,9.10E-07,0.99999905,1
55,9.22E-06,0.9999908,1
56,5.39E-06,0.99999464,1
57,3.82E-05,0.99996173,1
58,1.99E-06,0.999998,1
59,3.27E-06,0.9999968,1
60,0.000790323,0.99920964,1
61,8.79E-05,0.99991214,1
62,8.84E-06,0.9999912,1
63,1.47E-05,0.9999852,1
64,0.000385402,0.9996146,1
65,2.43E-06,0.9999976,1
66,5.12E-07,0.9999995,1
67,1.91E-07,0.99999976,1
68,4.10E-07,0.99999964,1
69,3.73E-07,0.99999964,1
70,4.76E-05,0.9999523,1
71,3.36E-06,0.99999666,1
72,0.0004963,0.99950373,1
73,1.05E-05,0.9999895,1
74,1.08E-06,0.9999989,1
75,4.21E-07,0.9999995,1
76,3.80E-06,0.9999962,1
77,2.67E-07,0.99999976,1
78,0.017992621,0.98200744,1
79,9.76E-05,0.99990237,1
80,2.21E-06,0.99999774,1
81,5.53E-05,0.9999447,1
82,5.27E-05,0.9999473,1
83,1.76E-06,0.9999982,1
84,0.00037233,0.9996277,1
85,3.09E-07,0.99999964,1
86,1.54E-05,0.9999846,1
87,8.54E-06,0.9999914,1
88,0.03457501,0.965425,1
89,1.31E-05,0.9999869,1
90,0.000414297,0.9995857,1
91,0.9757564,0.024243576,1
92,0.000135325,0.9998647,1
93,0.004320801,0.9956792,1
94,0.000116798,0.9998832,1
95,0.99427056,0.005729429,1
96,0.9757564,0.024243576,1
97,1.64E-05,0.99998355,1
98,0.97374856,0.02625143,1
99,0.009375493,0.9906245,1
100,3.68E-05,0.9999633,1
101,0.000131945,0.99986804,1
102,1.42E-05,0.9999858,1
103,0.000166345,0.9998336,1
104,0.9757564,0.024243576,1
105,2.98E-07,0.99999964,1
106,0.000315185,0.9996848,1
107,0.98454607,0.015453965,1
108,8.81E-05,0.9999119,1
109,3.04E-05,0.9999696,1
110,5.47E-07,0.9999994,1
111,0.001172718,0.9988273,1
112,5.85E-07,0.9999994,1
113,4.75E-07,0.9999995,1
114,3.50E-05,0.99996495,1
115,0.000393641,0.99960643,1
116,1.31E-05,0.9999869,1
117,2.74E-05,0.9999727,1
118,1.50E-05,0.9999851,1
119,4.00E-05,0.99995995,1
120,6.70E-07,0.9999993,1
121,9.91E-05,0.9999008,1
122,1.75E-05,0.9999825,1
123,3.73E-05,0.9999627,1
124,0.00052766,0.9994723,1
125,9.95E-05,0.9999006,1
126,0.9947067,0.005293299,1
127,7.94E-05,0.9999206,1
128,3.40E-06,0.99999666,1
129,0.00014014,0.9998598,1
130,0.000622366,0.99937767,1
131,0.000328804,0.9996712,1
132,0.001707733,0.99829227,1
133,2.06E-06,0.999998,1
134,5.00E-07,0.9999995,1
135,1.51E-05,0.99998486,1
136,1.45E-05,0.99998546,1
137,6.70E-05,0.999933,1
138,2.61E-05,0.9999739,1
139,4.52E-05,0.9999547,1
140,6.80E-05,0.99993205,1
141,9.82E-05,0.9999018,1
142,2.01E-05,0.99997985,1
143,0.000590178,0.9994098,1
144,6.01E-06,0.99999404,1
145,0.000125538,0.9998745,1
146,0.000125538,0.9998745,1
147,0.000125538,0.9998745,1
148,0.000125538,0.9998745,1
149,8.93E-06,0.99999106,1
150,9.30E-05,0.999907,1
151,6.00E-06,0.99999404,1
152,1.05E-06,0.9999989,1
153,8.27E-07,0.99999917,1
154,0.000486131,0.99951386,1
155,8.90E-05,0.99991107,1
156,2.81E-07,0.99999976,1
157,0.002977355,0.9970227,1
158,5.75E-05,0.99994254,1
159,0.000580626,0.99941945,1
160,0.000139041,0.9998609,1
161,0.000648579,0.99935144,1
162,3.01E-06,0.999997,1
163,2.41E-07,0.99999976,1
164,0.006115836,0.99388415,1
165,0.004917963,0.995082,1
166,4.74E-05,0.99995255,1
167,8.07E-05,0.9999193,1
168,0.000777415,0.99922264,1
169,0.001637986,0.998362,1
170,1.67E-05,0.9999833,1
171,0.008032386,0.9919676,1
172,2.30E-05,0.999977,1
173,2.90E-05,0.99997103,1
174,6.12E-06,0.9999939,1
175,2.98E-05,0.9999702,1
176,1.10E-05,0.99998903,1
177,0.00018689,0.99981314,1
178,2.16E-05,0.9999784,1
179,8.69E-05,0.9999131,1
180,9.22E-07,0.99999905,1
181,8.07E-05,0.9999193,1
182,1.39E-05,0.9999862,1
183,0.000802218,0.9991978,1
184,0.000138067,0.99986196,1
185,2.16E-05,0.9999784,1
186,2.98E-05,0.9999702,1
187,4.89E-05,0.9999511,1
188,3.87E-05,0.99996126,1
189,6.73E-06,0.9999933,1
190,9.14E-07,0.99999905,1
191,2.45E-05,0.99997556,1
192,6.02E-07,0.9999994,1
193,0.000180836,0.9998192,1
194,1.68E-07,0.9999999,1
195,5.62E-07,0.9999994,1
196,8.36E-05,0.99991643,1
197,3.99E-05,0.9999602,1
198,1.70E-07,0.9999999,1
199,4.94E-05,0.99995065,1
200,3.05E-05,0.9999695,1
201,0.000331597,0.99966836,1
202,4.37E-07,0.9999995,1
203,2.28E-05,0.99997723,1
204,2.58E-06,0.9999974,1
205,1.08E-06,0.9999989,1
206,0.000151706,0.99984825,1
207,0.000302437,0.99969757,1
208,0.002099871,0.9979001,1
209,2.04E-05,0.9999796,1
210,7.40E-05,0.999926,1
211,6.03E-05,0.9999397,1
212,7.65E-07,0.9999993,1
213,6.26E-06,0.9999937,1
214,2.38E-07,0.99999976,1
215,2.95E-05,0.99997056,1
216,0.000103757,0.9998963,1
217,0.000397159,0.99960285,1
218,2.34E-06,0.9999976,1
219,3.22E-06,0.9999968,1
220,1.22E-06,0.9999988,1
221,4.12E-06,0.9999958,1
222,1.03E-05,0.99998975,1
223,2.21E-07,0.99999976,1
224,0.002321757,0.9976782,1
225,5.04E-05,0.9999496,1
226,2.40E-05,0.99997604,1
227,3.10E-05,0.999969,1
228,0.000572664,0.9994273,1
229,0.000207485,0.9997925,1
230,0.001531166,0.9984688,1
231,8.37E-07,0.99999917,1
232,2.50E-07,0.99999976,1
233,2.09E-05,0.99997914,1
234,1.58E-06,0.99999845,1
235,5.07E-05,0.99994934,1
236,0.000325251,0.9996748,1
237,5.72E-05,0.9999428,1
238,0.000151813,0.9998481,1
239,4.41E-05,0.9999559,1
240,5.35E-05,0.9999465,1
241,2.69E-05,0.99997306,1
242,0.000110773,0.99988925,1
243,0.000587909,0.99941206,1
244,0.001509667,0.99849033,1
245,3.85E-06,0.9999962,1
246,1.91E-05,0.9999809,1
247,4.61E-06,0.99999535,1
248,2.10E-05,0.9999789,1
249,0.000156297,0.9998437,1
250,3.98E-05,0.9999602,1
251,0.000128234,0.99987173,1
252,0.000327037,0.999673,1
253,7.44E-05,0.9999256,1
254,3.70E-05,0.99996305,1
255,9.93E-07,0.99999905,1
256,1.20E-06,0.9999988,1
257,1.26E-06,0.9999987,1
258,3.15E-07,0.99999964,1
259,6.73E-06,0.9999933,1
260,1.73E-05,0.9999827,1
261,1.20E-06,0.9999988,1
262,2.82E-05,0.99997175,1
263,2.18E-05,0.9999782,1
264,0.000114683,0.9998853,1
265,0.000399009,0.99960107,1
266,1.34E-05,0.99998665,1
267,0.000888004,0.99911195,1
268,1.64E-05,0.99998355,1
269,7.95E-06,0.999992,1
270,3.24E-06,0.9999968,1
271,6.55E-06,0.99999344,1
272,0.009308944,0.99069107,1
273,1.55E-05,0.9999845,1
274,1.65E-05,0.99998355,1
275,0.000142137,0.9998579,1
276,0.000303369,0.9996966,1
277,0.00060139,0.9993986,1
278,0.001651078,0.99834895,1
279,0.000131223,0.99986875,1
280,0.000131223,0.99986875,1
281,6.31E-07,0.9999994,1
282,2.28E-05,0.99997723,1
283,1.45E-05,0.99998546,1
284,1.27E-05,0.99998724,1
285,1.80E-05,0.999982,1
286,0.004684272,0.9953158,1
287,0.000180371,0.9998197,1
288,3.22E-05,0.9999677,1
289,9.94E-07,0.99999905,1
290,1.17E-06,0.9999988,1
291,5.35E-07,0.9999995,1
292,2.25E-05,0.9999776,1
293,0.001410924,0.9985891,1
294,3.52E-07,0.99999964,1
295,2.29E-06,0.99999774,1
296,4.07E-07,0.99999964,1
297,3.41E-07,0.99999964,1
298,2.27E-06,0.99999774,1
299,3.74E-05,0.9999627,1
300,5.10E-05,0.999949,1
301,2.26E-06,0.99999774,1
302,3.57E-07,0.99999964,1
303,3.87E-05,0.9999614,1
304,3.08E-05,0.99996924,1
305,0.002037783,0.99796224,1
306,5.79E-05,0.99994206,1
307,0.000713715,0.99928635,1
308,3.56E-07,0.99999964,1
309,2.48E-06,0.9999975,1
310,3.98E-05,0.9999602,1
311,5.99E-05,0.99994016,1
312,1.33E-05,0.99998677,1
313,0.29692486,0.7030751,1
314,9.51E-06,0.99999046,1
315,0.001590635,0.99840945,1
316,0.000165992,0.99983394,1
317,0.001300619,0.9986993,1
318,8.30E-06,0.99999166,1
